ID, Question                                                                   , Old Time(ms)      , New Time(ms)      , Old Top1          , New Top1          , Old Top5          , New Top5           , Old Context Words, New Context Words, Old Avg Chunk Words, New Avg Chunk Words
 1, What is a Python dictionary and how is it different from a list?           , 1836.5891000139527, 354.94889999972656, 0.7151376234394735, 0.7067481313425292, 0.7037431358479154, 0.6850176364317564 ,               566,              2667,               11.32,               53.34
 2, Explain recursion with an example.                                         , 2033.0402000108734, 360.1739000005182 , 0.786267815409029 , 0.7685554198438633, 0.7784619777117098, 0.7011665863275688 ,               415,              2396,                8.3 ,               47.92
 3, What is the difference between tuples and lists in Python?                 , 1925.7913999899756, 365.3755999985151 , 0.7672990395501229, 0.704070909089842 , 0.731841955046548 , 0.6776429780869583 ,               524,              2273,               10.48,               45.46
 4, How do classes and objects work in Python?                                 , 1919.0334000159055, 349.88829999929294, 0.7271694255687648, 0.6864568486790878, 0.7095991344713812, 0.6748419502236329 ,               571,              2865,               11.42,               57.3
 5, What is the purpose of a lambda function in Python?                        , 1998.0313000269234, 367.6286000118125 , 0.7982152266485336, 0.7125986114316857, 0.7510607079070951, 0.6623602648132598 ,               439,              2332,                8.78,               46.64
 6, What is the difference between shallow copy and deep copy in Python?       , 1982.3544999817386, 332.019900000887  , 0.7222637948770476, 0.6454653277270797, 0.6707106017331443, 0.6275971125251137 ,               632,              2810,               12.64,               56.2
 7, Explain how inheritance works in Python.                                   , 1977.8223999892361, 333.06949998950586, 0.6901753153615313, 0.653220900604669 , 0.6641984478438946, 0.6216420359506072 ,               521,              2700,               10.42,               54.0
 8, What are generators and why are they useful?                               , 1955.6872000102885, 327.3212999920361 , 0.5644577311056669, 0.516972732077484 , 0.5552165596492094, 0.48702451323208046,               385,              2233,                7.7 ,               44.66
 9, "Explain exception handling using try, except, and finally."               , 1883.8457000092603, 346.29769998718984, 0.7339787724092729, 0.6415163810387753, 0.7066262601634181, 0.6176727751170967 ,               591,              2740,               11.82,               54.8
10, What is the difference between a module and a package in Python?           , 1877.4025000166148, 315.5179000168573 , 0.61615716967946  , 0.620220278107665 , 0.590599835323422 , 0.5664164942261873 ,               595,              2926,               11.9 ,               58.52
11, What is a Python set and when should it be used?                           , 1906.3450999965426, 321.13179998123087, 0.6492306363846727, 0.630310064301038 , 0.626354908104739 , 0.5870596766300495 ,               544,              2596,               10.88,               51.92
